split,w_conf,level,budget,method,accuracy
OOD,0.5,L1,0.1,oracle,0.7656666666666667
ID,0.5,L1,0.2,fast,0.657
ID,0.5,L1,0.2,confidence,0.7476666666666667
ID,0.5,L1,0.2,intuition,0.7476666666666667
ID,0.5,L1,0.2,random,0.7246666666666667
ID,0.5,L1,0.2,oracle,0.857
OOD,0.5,L1,0.2,fast,0.6656666666666666
OOD,0.5,L1,0.2,confidence,0.7543333333333333
OOD,0.5,L1,0.2,intuition,0.7543333333333333
OOD,0.5,L1,0.2,random,0.7295
OOD,0.5,L1,0.2,oracle,0.8656666666666667
ID,0.5,L1,0.3,fast,0.657
ID,0.5,L1,0.3,confidence,0.7895
ID,0.5,L1,0.3,intuition,0.7895
ID,0.5,L1,0.3,random,0.7646666666666667
ID,0.5,L1,0.3,oracle,0.957
OOD,0.5,L1,0.3,fast,0.6656666666666666
OOD,0.5,L1,0.3,confidence,0.7955
OOD,0.5,L1,0.3,intuition,0.7955
OOD,0.5,L1,0.3,random,0.7615
OOD,0.5,L1,0.3,oracle,0.9656666666666667
ID,0.5,L1,0.4,fast,0.657
ID,0.5,L1,0.4,confidence,0.8256666666666667
ID,0.5,L1,0.4,intuition,0.8256666666666667
ID,0.5,L1,0.4,random,0.7953333333333333
ID,0.5,L1,0.4,oracle,1.0
OOD,0.5,L1,0.4,fast,0.6656666666666666
OOD,0.5,L1,0.4,confidence,0.8316666666666667
OOD,0.5,L1,0.4,intuition,0.8316666666666667
OOD,0.5,L1,0.4,random,0.8043333333333333
OOD,0.5,L1,0.4,oracle,1.0
ID,0.5,L2,0.1,fast,0.657
ID,0.5,L2,0.1,confidence,0.7018333333333333
ID,0.5,L2,0.1,intuition,0.7118333333333333
ID,0.5,L2,0.1,random,0.6896666666666667
ID,0.5,L2,0.1,oracle,0.757
OOD,0.5,L2,0.1,fast,0.6656666666666666
OOD,0.5,L2,0.1,confidence,0.7111666666666666
OOD,0.5,L2,0.1,intuition,0.7231666666666666
OOD,0.5,L2,0.1,random,0.7003333333333334
OOD,0.5,L2,0.1,oracle,0.7656666666666667
ID,0.5,L2,0.2,fast,0.657
ID,0.5,L2,0.2,confidence,0.7476666666666667
ID,0.5,L2,0.2,intuition,0.7596666666666667
ID,0.5,L2,0.2,random,0.7246666666666667
ID,0.5,L2,0.2,oracle,0.857
OOD,0.5,L2,0.2,fast,0.6656666666666666
OOD,0.5,L2,0.2,confidence,0.7543333333333333
OOD,0.5,L2,0.2,intuition,0.7698333333333334
OOD,0.5,L2,0.2,random,0.7295
OOD,0.5,L2,0.2,oracle,0.8656666666666667
ID,0.5,L2,0.3,fast,0.657
ID,0.5,L2,0.3,confidence,0.7895
ID,0.5,L2,0.3,intuition,0.8031666666666667
ID,0.5,L2,0.3,random,0.7646666666666667
ID,0.5,L2,0.3,oracle,0.957
OOD,0.5,L2,0.3,fast,0.6656666666666666
OOD,0.5,L2,0.3,confidence,0.7955
OOD,0.5,L2,0.3,intuition,0.8143333333333334
OOD,0.5,L2,0.3,random,0.7615
OOD,0.5,L2,0.3,oracle,0.9656666666666667
ID,0.5,L2,0.4,fast,0.657
ID,0.5,L2,0.4,confidence,0.8256666666666667
ID,0.5,L2,0.4,intuition,0.8425
ID,0.5,L2,0.4,random,0.7953333333333333
ID,0.5,L2,0.4,oracle,1.0
OOD,0.5,L2,0.4,fast,0.6656666666666666
OOD,0.5,L2,0.4,confidence,0.8316666666666667
OOD,0.5,L2,0.4,intuition,0.852
OOD,0.5,L2,0.4,random,0.8043333333333333
OOD,0.5,L2,0.4,oracle,1.0
ID,0.5,L3,0.1,fast,0.657
ID,0.5,L3,0.1,confidence,0.7018333333333333
ID,0.5,L3,0.1,intuition,0.7253333333333334
ID,0.5,L3,0.1,random,0.6896666666666667
ID,0.5,L3,0.1,oracle,0.757
OOD,0.5,L3,0.1,fast,0.6656666666666666
OOD,0.5,L3,0.1,confidence,0.7111666666666666
OOD,0.5,L3,0.1,intuition,0.7335
OOD,0.5,L3,0.1,random,0.7003333333333334
OOD,0.5,L3,0.1,oracle,0.7656666666666667
ID,0.5,L3,0.2,fast,0.657
ID,0.5,L3,0.2,confidence,0.7476666666666667
ID,0.5,L3,0.2,intuition,0.782
ID,0.5,L3,0.2,random,0.7246666666666667
ID,0.5,L3,0.2,oracle,0.857
OOD,0.5,L3,0.2,fast,0.6656666666666666
OOD,0.5,L3,0.2,confidence,0.7543333333333333
OOD,0.5,L3,0.2,intuition,0.7821666666666667
OOD,0.5,L3,0.2,random,0.7295
OOD,0.5,L3,0.2,oracle,0.8656666666666667
ID,0.5,L3,0.3,fast,0.657
ID,0.5,L3,0.3,confidence,0.7895
ID,0.5,L3,0.3,intuition,0.8265
ID,0.5,L3,0.3,random,0.7646666666666667
ID,0.5,L3,0.3,oracle,0.957
OOD,0.5,L3,0.3,fast,0.6656666666666666
OOD,0.5,L3,0.3,confidence,0.7955
OOD,0.5,L3,0.3,intuition,0.8293333333333334
OOD,0.5,L3,0.3,random,0.7615
OOD,0.5,L3,0.3,oracle,0.9656666666666667
ID,0.5,L3,0.4,fast,0.657
ID,0.5,L3,0.4,confidence,0.8256666666666667
ID,0.5,L3,0.4,intuition,0.8666666666666667
ID,0.5,L3,0.4,random,0.7953333333333333
ID,0.5,L3,0.4,oracle,1.0
OOD,0.5,L3,0.4,fast,0.6656666666666666
OOD,0.5,L3,0.4,confidence,0.8316666666666667
OOD,0.5,L3,0.4,intuition,0.8698333333333333
OOD,0.5,L3,0.4,random,0.8043333333333333
OOD,0.5,L3,0.4,oracle,1.0
ID,0.5,L4,0.1,fast,0.657
ID,0.5,L4,0.1,confidence,0.7018333333333333
