generator,seed,w_conf,level,delta_auc
linear,11,1.4,a200,0.08695884575690671
linear,11,1.4,a300,0.09897903407136288
linear,11,1.6,L0_null,0.00042717803238856433
linear,11,1.6,L1_redundant,0.0
linear,11,1.6,a025,0.006517780816378105
linear,11,1.6,a045,0.016768677214568983
linear,11,1.6,a070,0.03003309315934566
linear,11,1.6,a100,0.051789392971757664
linear,11,1.6,a150,0.06264301830434083
linear,11,1.6,a200,0.0774847647342638
linear,11,1.6,a300,0.08298765362893623
linear,11,1.8,L0_null,-0.0019285031827376287
linear,11,1.8,L1_redundant,0.0
linear,11,1.8,a025,0.006764278889702213
linear,11,1.8,a045,0.012890769440756289
linear,11,1.8,a070,0.02846757082056295
linear,11,1.8,a100,0.041180032509833486
linear,11,1.8,a150,0.05434254445285447
linear,11,1.8,a200,0.06719807422665047
linear,11,1.8,a300,0.07776823714806846
linear,11,2.0,L0_null,-0.00037392377937672805
linear,11,2.0,L1_redundant,0.0
linear,11,2.0,a025,0.006642246044566202
linear,11,2.0,a045,0.017562427347536658
linear,11,2.0,a070,0.030781899962966097
linear,11,2.0,a100,0.04170393543343753
linear,11,2.0,a150,0.05486629968983492
linear,11,2.0,a200,0.06778280133559378
linear,11,2.0,a300,0.07749715570705329
linear,12,0.0,L0_null,0.008142964913452011
linear,12,0.0,L1_redundant,0.0
linear,12,0.0,a025,0.07217921927299997
linear,12,0.0,a045,0.11464323128999432
linear,12,0.0,a070,0.15924923897264665
linear,12,0.0,a100,0.1961600065949327
linear,12,0.0,a150,0.23373791880260508
linear,12,0.0,a200,0.24435324306189987
linear,12,0.0,a300,0.2576555334805757
linear,12,0.2,L0_null,0.0005754078007645935
linear,12,0.2,L1_redundant,0.0
linear,12,0.2,a025,0.04195596858059525
linear,12,0.2,a045,0.08269044019126992
linear,12,0.2,a070,0.12803210777986762
linear,12,0.2,a100,0.16773008321962857
linear,12,0.2,a150,0.192776487074529
linear,12,0.2,a200,0.21748890609826554
linear,12,0.2,a300,0.2368052021487137
linear,12,0.4,L0_null,7.53742292605164e-05
linear,12,0.4,L1_redundant,0.0
linear,12,0.4,a025,0.013659779919876103
linear,12,0.4,a045,0.045102954000635576
linear,12,0.4,a070,0.08381652170279097
linear,12,0.4,a100,0.11973455140781253
linear,12,0.4,a150,0.16240734935349244
linear,12,0.4,a200,0.16880809860110724
linear,12,0.4,a300,0.1814952100750472
linear,12,0.6,L0_null,0.0005980397231656331
linear,12,0.6,L1_redundant,0.0
linear,12,0.6,a025,0.012892772485844861
linear,12,0.6,a045,0.041829091706268584
linear,12,0.6,a070,0.06831829238019438
linear,12,0.6,a100,0.09138831405298664
linear,12,0.6,a150,0.12229801681716224
linear,12,0.6,a200,0.14093647069759052
linear,12,0.6,a300,0.15302353711725414
linear,12,0.8,L0_null,-0.000784114223416621
linear,12,0.8,L1_redundant,0.0
linear,12,0.8,a025,0.01888179773855425
linear,12,0.8,a045,0.039790713243135434
linear,12,0.8,a070,0.07499643498629571
linear,12,0.8,a100,0.09928560020167987
linear,12,0.8,a150,0.12876540019843263
linear,12,0.8,a200,0.14137164106800149
linear,12,0.8,a300,0.15807415505399391
linear,12,1.0,L0_null,-0.0013207499999999817
linear,12,1.0,L1_redundant,0.0
linear,12,1.0,a025,0.004596749999999927
linear,12,1.0,a045,0.020212125000000025
linear,12,1.0,a070,0.04840337500000014
linear,12,1.0,a100,0.06659025000000018
linear,12,1.0,a150,0.09211775000000011
linear,12,1.0,a200,0.10257287500000012
linear,12,1.0,a300,0.112319375
linear,12,1.2,L0_null,-0.0005678571210738781
linear,12,1.2,L1_redundant,0.0
linear,12,1.2,a025,0.007416248854358876
linear,12,1.2,a045,0.02572422632579152
linear,12,1.2,a070,0.034582025666594296
linear,12,1.2,a100,0.06194795904408312
linear,12,1.2,a150,0.07827291770888933
linear,12,1.2,a200,0.08700076465284856
linear,12,1.2,a300,0.09845910563623717
linear,12,1.4,L0_null,-0.0017106781445312969
linear,12,1.4,L1_redundant,0.0
linear,12,1.4,a025,0.010293659249049236
linear,12,1.4,a045,0.019440501519036202
linear,12,1.4,a070,0.03466487944132346
linear,12,1.4,a100,0.057800132145081395
linear,12,1.4,a150,0.0767789478343065
linear,12,1.4,a200,0.08206538336299751
linear,12,1.4,a300,0.09387864782071265
linear,12,1.6,L0_null,0.0007254647943025772
linear,12,1.6,L1_redundant,0.0
linear,12,1.6,a025,0.0037436861426920487
linear,12,1.6,a045,0.01742753012359821
linear,12,1.6,a070,0.03746985965456806
linear,12,1.6,a100,0.05295148677484385
linear,12,1.6,a150,0.06880837569449794
linear,12,1.6,a200,0.07627168160332676
linear,12,1.6,a300,0.09015549980591842
linear,12,1.8,L0_null,0.00030375000000015806
linear,12,1.8,L1_redundant,0.0
linear,12,1.8,a025,0.0028082500000000676
linear,12,1.8,a045,0.015324875000000016
linear,12,1.8,a070,0.02920337500000003
linear,12,1.8,a100,0.04235800000000001
linear,12,1.8,a150,0.05544225000000014
linear,12,1.8,a200,0.06293162500000016
linear,12,1.8,a300,0.07242837499999988
linear,12,2.0,L0_null,-0.0015393800686601677
linear,12,2.0,L1_redundant,0.0
linear,12,2.0,a025,0.003795711229414356
linear,12,2.0,a045,0.012966814269366744
linear,12,2.0,a070,0.02147544653962874
linear,12,2.0,a100,0.039685432111050245
linear,12,2.0,a150,0.04751492611572716
linear,12,2.0,a200,0.05882357331210497
linear,12,2.0,a300,0.06280436837653602
linear,13,0.0,L0_null,0.0012036019305098344
linear,13,0.0,L1_redundant,0.0
linear,13,0.0,a025,0.0336350929135697
