generator,seed,w_conf,level,learner,budget,gain_vs_B1_pp,gain_vs_B3_pp,acc_B1,acc_B3
linear,1,0.0,L1_redundant,gbm,0.25,-0.216666666666665,0.0,0.7565,0.752
linear,1,0.0,L1_redundant,gbm,0.3,0.0,0.0,0.7708333333333334,0.7668333333333334
linear,1,0.0,L1_redundant,gbm,0.4,-0.050000000000005596,0.0,0.802,0.7995
linear,1,0.0,L1_redundant,mlp,0.05,-0.28333333333333544,0.24999999999999467,0.6871666666666667,0.6843333333333333
linear,1,0.0,L1_redundant,mlp,0.1,-0.5000000000000004,0.04999999999999449,0.7058333333333333,0.7025
linear,1,0.0,L1_redundant,mlp,0.15,-0.7166666666666655,-0.06666666666667043,0.7235,0.7216666666666667
linear,1,0.0,L1_redundant,mlp,0.2,-0.9499999999999953,-0.08333333333333526,0.7403333333333333,0.7386666666666667
linear,1,0.0,L1_redundant,mlp,0.25,-0.8999999999999897,0.23333333333332984,0.7565,0.752
linear,1,0.0,L1_redundant,mlp,0.3,-0.5333333333333412,0.34999999999999476,0.7708333333333334,0.7668333333333334
linear,1,0.0,L1_redundant,mlp,0.4,0.0,0.35000000000000586,0.802,0.7995
linear,1,0.0,a025,logreg,0.05,0.34999999999999476,0.6166666666666654,0.6871666666666667,0.6843333333333333
linear,1,0.0,a025,logreg,0.1,0.3166666666666651,0.6000000000000005,0.7058333333333333,0.7025
linear,1,0.0,a025,logreg,0.15,0.5166666666666653,0.649999999999995,0.7235,0.7216666666666667
linear,1,0.0,a025,logreg,0.2,0.8000000000000007,0.9666666666666601,0.7403333333333333,0.7386666666666667
linear,1,0.0,a025,logreg,0.25,1.1333333333333417,1.4666666666666717,0.7565,0.752
linear,1,0.0,a025,logreg,0.3,1.5499999999999958,1.9000000000000017,0.7708333333333334,0.7668333333333334
linear,1,0.0,a025,logreg,0.4,1.8833333333333258,2.0499999999999963,0.802,0.7995
