generator,seed,w_conf,acc_B1,acc_B2_temp,acc_B2_iso,flip_rate
linear,6,1.0,0.7731666666666667,0.7731666666666667,0.7728333333333334,0.32775
linear,6,1.2,0.7803333333333333,0.7803333333333333,0.7801666666666667,0.3315
linear,6,1.4,0.7798333333333334,0.7798333333333334,0.7796666666666666,0.3328333333333333
linear,6,1.6,0.791,0.791,0.791,0.33075
linear,6,1.8,0.7998333333333333,0.7998333333333333,0.7981666666666667,0.33525
linear,6,2.0,0.7986666666666666,0.7986666666666666,0.7981666666666667,0.3353333333333333
linear,7,0.0,0.7338333333333333,0.7338333333333333,0.737,0.3289166666666667
linear,7,0.2,0.7425,0.7425,0.7403333333333333,0.3408333333333333
linear,7,0.4,0.7425,0.7425,0.7413333333333333,0.33125
linear,7,0.6,0.752,0.752,0.7531666666666667,0.3253333333333333
linear,7,0.8,0.7581666666666667,0.7581666666666667,0.7601666666666667,0.3284166666666667
linear,7,1.0,0.7663333333333333,0.7663333333333333,0.7646666666666667,0.33175
linear,7,1.2,0.7715,0.7715,0.7693333333333333,0.3278333333333333
linear,7,1.4,0.7846666666666666,0.7846666666666666,0.7826666666666666,0.3314166666666667
linear,7,1.6,0.7856666666666666,0.7856666666666666,0.7846666666666666,0.32566666666666666
linear,7,1.8,0.7955,0.7955,0.7941666666666667,0.33025
linear,7,2.0,0.7931666666666667,0.7931666666666667,0.7915,0.33066666666666666
linear,8,0.0,0.7348333333333333,0.7348333333333333,0.7311666666666666,0.33366666666666667
linear,8,0.2,0.7473333333333333,0.7473333333333333,0.7431666666666666,0.33316666666666667
linear,8,0.4,0.747,0.747,0.7478333333333333,0.337
linear,8,0.6,0.7598333333333334,0.7598333333333334,0.7598333333333334,0.32475
linear,8,0.8,0.7641666666666667,0.7641666666666667,0.7631666666666667,0.33216666666666667
linear,8,1.0,0.7823333333333333,0.7823333333333333,0.7825,0.33225
linear,8,1.2,0.7841666666666667,0.7841666666666667,0.7838333333333334,0.33466666666666667
linear,8,1.4,0.7993333333333333,0.7993333333333333,0.7993333333333333,0.3298333333333333
linear,8,1.6,0.7898333333333334,0.7898333333333334,0.7895,0.3343333333333333
linear,8,1.8,0.8015,0.8015,0.8015,0.32825
linear,8,2.0,0.8086666666666666,0.8086666666666666,0.8078333333333333,0.3298333333333333
linear,9,0.0,0.7278333333333333,0.7301666666666666,0.7285,0.33925
linear,9,0.2,0.747,0.747,0.7423333333333333,0.33058333333333334
linear,9,0.4,0.749,0.749,0.7498333333333334,0.32925
linear,9,0.6,0.7521666666666667,0.7521666666666667,0.7521666666666667,0.3268333333333333
linear,9,0.8,0.7476666666666667,0.7476666666666667,0.7475,0.32766666666666666
linear,9,1.0,0.7681666666666667,0.7681666666666667,0.7675,0.33275
linear,9,1.2,0.7755,0.7755,0.7713333333333333,0.33608333333333335
linear,9,1.4,0.7748333333333334,0.7748333333333334,0.7746666666666666,0.33641666666666664
linear,9,1.6,0.7768333333333334,0.7768333333333334,0.7768333333333334,0.3289166666666667
linear,9,1.8,0.7865,0.7865,0.7858333333333334,0.3353333333333333
linear,9,2.0,0.7948333333333333,0.7948333333333333,0.7955,0.33316666666666667
nonlinear,1,0.0,0.7363333333333333,0.7363333333333333,0.7363333333333333,0.33166666666666667
nonlinear,1,0.2,0.7406666666666667,0.7406666666666667,0.7406666666666667,0.3258333333333333
nonlinear,1,0.4,0.738,0.738,0.7385,0.32775
nonlinear,1,0.6,0.7476666666666667,0.7476666666666667,0.7478333333333333,0.32925
nonlinear,1,0.8,0.7556666666666667,0.7556666666666667,0.7551666666666667,0.33158333333333334
nonlinear,1,1.0,0.7715,0.7715,0.771,0.33716666666666667
nonlinear,1,1.2,0.7595,0.7595,0.7598333333333334,0.33658333333333335
nonlinear,1,1.4,0.7746666666666666,0.7746666666666666,0.7741666666666667,0.3264166666666667
nonlinear,1,1.6,0.7818333333333334,0.7818333333333334,0.7818333333333334,0.33558333333333334
nonlinear,1,1.8,0.7823333333333333,0.7823333333333333,0.7833333333333333,0.33416666666666667
nonlinear,1,2.0,0.7838333333333334,0.7838333333333334,0.7848333333333334,0.33375
nonlinear,10,0.0,0.7251666666666666,0.7251666666666666,0.7278333333333333,0.33258333333333334
nonlinear,10,0.2,0.7483333333333333,0.7483333333333333,0.7515,0.32916666666666666
nonlinear,10,0.4,0.747,0.747,0.747,0.32566666666666666
nonlinear,10,0.6,0.7523333333333333,0.7523333333333333,0.7496666666666667,0.33266666666666667
nonlinear,10,0.8,0.7646666666666667,0.7646666666666667,0.7655,0.3299166666666667
nonlinear,10,1.0,0.7663333333333333,0.7663333333333333,0.7643333333333333,0.33575
nonlinear,10,1.2,0.77,0.77,0.7701666666666667,0.3368333333333333
nonlinear,10,1.4,0.771,0.771,0.7706666666666667,0.3289166666666667
nonlinear,10,1.6,0.7808333333333334,0.7808333333333334,0.7801666666666667,0.3249166666666667
nonlinear,10,1.8,0.7803333333333333,0.7803333333333333,0.7793333333333333,0.32966666666666666
nonlinear,10,2.0,0.7876666666666666,0.7876666666666666,0.7858333333333334,0.3319166666666667
nonlinear,11,0.0,0.7273333333333334,0.7308333333333333,0.727,0.33975
nonlinear,11,0.2,0.734,0.734,0.7336666666666667,0.33591666666666664
nonlinear,11,0.4,0.7478333333333333,0.7478333333333333,0.7455,0.3363333333333333
nonlinear,11,0.6,0.7441666666666666,0.7441666666666666,0.7423333333333333,0.3333333333333333
nonlinear,11,0.8,0.756,0.756,0.7555,0.3363333333333333
nonlinear,11,1.0,0.7563333333333333,0.7563333333333333,0.7573333333333333,0.3259166666666667
nonlinear,11,1.2,0.763,0.763,0.7626666666666667,0.3398333333333333
nonlinear,11,1.4,0.765,0.765,0.7653333333333333,0.33175
nonlinear,11,1.6,0.7693333333333333,0.7693333333333333,0.7711666666666667,0.3319166666666667
nonlinear,11,1.8,0.7798333333333334,0.7798333333333334,0.7791666666666667,0.3388333333333333
nonlinear,11,2.0,0.7801666666666667,0.7801666666666667,0.7798333333333334,0.33691666666666664
nonlinear,12,0.0,0.739,0.7431666666666666,0.7378333333333333,0.32966666666666666
nonlinear,12,0.2,0.7428333333333333,0.7428333333333333,0.7406666666666667,0.32666666666666666
nonlinear,12,0.4,0.751,0.751,0.7491666666666666,0.33341666666666664
nonlinear,12,0.6,0.7461666666666666,0.7461666666666666,0.7456666666666667,0.33075
nonlinear,12,0.8,0.7588333333333334,0.7588333333333334,0.7588333333333334,0.3284166666666667
nonlinear,12,1.0,0.762,0.762,0.7621666666666667,0.32866666666666666
nonlinear,12,1.2,0.7683333333333333,0.7683333333333333,0.7685,0.3343333333333333
nonlinear,12,1.4,0.772,0.772,0.7716666666666666,0.3324166666666667
nonlinear,12,1.6,0.7798333333333334,0.7798333333333334,0.7795,0.33375
nonlinear,12,1.8,0.7873333333333333,0.7873333333333333,0.7873333333333333,0.3234166666666667
nonlinear,12,2.0,0.7876666666666666,0.7876666666666666,0.7845,0.3273333333333333
nonlinear,13,0.0,0.7311666666666666,0.7311666666666666,0.7305,0.3268333333333333
nonlinear,13,0.2,0.7451666666666666,0.7451666666666666,0.7448333333333333,0.3333333333333333
nonlinear,13,0.4,0.7525,0.7525,0.7523333333333333,0.33391666666666664
nonlinear,13,0.6,0.7456666666666667,0.7456666666666667,0.7455,0.33708333333333335
nonlinear,13,0.8,0.7565,0.7565,0.7563333333333333,0.32908333333333334
nonlinear,13,1.0,0.7591666666666667,0.7591666666666667,0.758,0.33275
nonlinear,13,1.2,0.7626666666666667,0.7626666666666667,0.7631666666666667,0.3255
nonlinear,13,1.4,0.7728333333333334,0.7728333333333334,0.7728333333333334,0.33425
nonlinear,13,1.6,0.7833333333333333,0.7833333333333333,0.7826666666666666,0.32708333333333334
nonlinear,13,1.8,0.7871666666666667,0.7871666666666667,0.787,0.329
nonlinear,13,2.0,0.785,0.785,0.7846666666666666,0.3295
nonlinear,14,0.0,0.7343333333333333,0.7373333333333333,0.7371666666666666,0.339
nonlinear,14,0.2,0.7378333333333333,0.7378333333333333,0.7385,0.33825
nonlinear,14,0.4,0.746,0.746,0.7458333333333333,0.3388333333333333
nonlinear,14,0.6,0.7483333333333333,0.7483333333333333,0.748,0.33891666666666664
nonlinear,14,0.8,0.7686666666666667,0.7686666666666667,0.768,0.33591666666666664
nonlinear,14,1.0,0.7655,0.7655,0.7636666666666667,0.32925
nonlinear,14,1.2,0.7728333333333334,0.7728333333333334,0.774,0.33825
nonlinear,14,1.4,0.776,0.776,0.7753333333333333,0.33525
nonlinear,14,1.6,0.7823333333333333,0.7823333333333333,0.7831666666666667,0.3305
nonlinear,14,1.8,0.7858333333333334,0.7858333333333334,0.7853333333333333,0.33441666666666664
nonlinear,14,2.0,0.7873333333333333,0.7873333333333333,0.7881666666666667,0.33375
nonlinear,15,0.0,0.7373333333333333,0.7306666666666667,0.7335,0.337
nonlinear,15,0.2,0.7428333333333333,0.7428333333333333,0.742,0.3308333333333333
nonlinear,15,0.4,0.7455,0.7455,0.7458333333333333,0.33358333333333334
nonlinear,15,0.6,0.7536666666666667,0.7536666666666667,0.7536666666666667,0.33125
nonlinear,15,0.8,0.7701666666666667,0.7701666666666667,0.77,0.3259166666666667
nonlinear,15,1.0,0.7768333333333334,0.7768333333333334,0.7758333333333334,0.33258333333333334
nonlinear,15,1.2,0.7758333333333334,0.7758333333333334,0.7748333333333334,0.334
nonlinear,15,1.4,0.78,0.78,0.7801666666666667,0.33366666666666667
nonlinear,15,1.6,0.7875,0.7875,0.7866666666666666,0.3278333333333333
nonlinear,15,1.8,0.7918333333333333,0.7918333333333333,0.791,0.32866666666666666
nonlinear,15,2.0,0.7955,0.7955,0.7951666666666667,0.33158333333333334
nonlinear,16,0.0,0.7248333333333333,0.7248333333333333,0.7275,0.3353333333333333
